PID,TITLE,AUTHORS
A001001,BusTUC _ A natural language bus route oracle,#TORE_AMBLE
A001002,Machine Translation of Very Close Languages,#JAN_HAJIC
A001003,Cross_Language Multimedia Information Retrieval,#SHARON_FLANK
A001004,Automatic construction of parallel English_Chinese corpus for cross_language information retrieval,#JIANG_CHEN#JIANYUN_NIE
A001005,PartsID_ A Dialogue_Based System for Identifying Parts for Medical Systems,#AMIT_BAGGA#TOMEK_STRZALKOWSKI#G_BOWDEN
A001006,Translation using Information on Dialogue Participants,#SETSUO_YAMADA#EIICHIRO_SUMITA#HIDEKI_KASHIOKA
A001007,Distilling dialogues _ A method using natural dialogue corpora for dialogue systems development,#ARNE_JONSSON#NILS_DAHLBACK
A001008,Plan_Based Dialogue Management in a Physics Tutor,#REVA_FREEDMAN
A001009,A Framework for MT and Multilingual NLG Systems Based on Uniform Lexico_Structural Processing,#BENOIT_LAVOIE#RICHARD_KITTREDGE#TANYA_KORELSKY#OWEN_RAMBOW
A001010,TALK_N_TRAVEL_ A CONVERSATIONAL SYSTEM FOR AIR TRAVEL PLANNING,#DAVID_STALLARD
A001011,REES_ A Large_Scale Relation and Event Extraction System,#CHINATSU_AONE#MILA_RAMOSSANTACRUZ
A001012,Experiments on Sentence Boundary Detection,#MARK_STEVENSON#ROBERT_GAIZAUSKAS
A001013,DP_ A Detector for Presuppositions in survey questions,#KATJA_WIEMERHASTINGS#PETER_WIEMERHASTINGS#SONYA_RAJAH
A001014,MIMIC_ An Adaptive Mixed Initiative Spoken Dialogue System for Information Queries,#JENNIFER_CHUCARROLL
A001015,Javox_ A Toolkit for Building Speech_Enabled Applications,#MICHAEL_S_FULKERSON#ALAN_W_BIERMANN
A001016,A Compact Architecture for Dialogue Management Based on Scripts and Meta_Outputs,#MANNY_RAYNER#BETH_ANN_HOCKEY#FRANKIE_JAMES
A001017,A Representation for Complex and Evolving Data Dependencies in Generation,#C_MELLISH#R_EVANS#L_CAHILL#C_DORAN#D_PAIVA#M_REAPE#D_SCOTT#N_TIPPER
A001018,An Automatic Reviser_ The TransCheck System,#JEANMARC_JUTRAS_RALI
A001019,Unit Completion for a Computer_aided Translation Typing System,#PHILIPPE_LANGLAIS#GEORGE_FOSTER#GUY_LAPALME
A001020,Multilingual Coreference Resolution,#SANDA_M_HARABAGIU#STEVEN_J_MAIORANO
A001021,Ranking suspected answers to natural language questions using predictive annotation,#DRAGOMIR_R_RADEV#JOHN_PRAGER#VALERIE_SAMN
A001022,Message Classification in the Call Center,#STEPHAN_BUSEMANN#SVEN_SCHMEIER#ROMAN_G_ARENS
A001023,A Question Answering System Supported by Information Extraction,#ROHINI_SRIHARI#WEL_LI
A001024,Categorizing Unknown Words_ Using Decision Trees to Identify Names and Misspellings,#JANINE_TOOLE
A001025,Examining the Role of Statistical and Linguistic Knowledge Sources in a General_Knowledge Question_Answering System,#CLAIRE_CARDIEL#VINCENT_NG#DAVID_PIERCE#CHRIS_BUCKLEY
A001026,Extracting Molecular Binding Relationships from Biomedical Text,#THOMAS_C_RINDFLESCH#JAYANT_V_RAJAN#LAWRENCE_HUNTER
A001027,Compound Noun Segmentation Based on Lexical Data Extracted from Corpus,#JUNTAE_YOON
A001028,Experiments with Corpus_based LFG Specialization,#NICOLA_CANCEDDA#CHRISTER_SAMUELSSON
A001029,A Tool for Automated Revision of Grammars for NLP Systems,#NANDA_KAMBHATLA#WLODEK_ZADROZNY
A001030,Aggressive Morphology for Robust Lexical Coverage,#WILLIAM_A_WOODS
A001031,TnT __ A Statistical Part_of_Speech Tagger,#THORSTEN_BRANTS
A001032,Language Independent Morphological Analysis,#TATSUO_YAMASHITA#YUJI_MATSUMOTO
A001033,A Divide_and_Conquer Strategy for Shallow Parsing of German Free Texts,#GUNTER_NEUMANN#CHRISTIAN_BRAUNT#JAKUB_PISKORSKI
A001034,A Hybrid Approach for Named Entity and Sub_Type Tagging,#ROHINI_SRIHARI
A001035,Spelling and Grammar Correction for Danish in SCARRIE,#PATRIZIA_PAGGIO
A001036,Linguistic Knowledge can Improve Information Retrieval,#WILLIAM_A_WOODS#LAWRENCE_A_BOOKMAN#ANN_HOUSTON#ROBERT_J_KUHNS#PAUL_MARTIN#STEPHEN_GREEN
A001037,Domain_Specific Knowledge Acquisition from Text,#DAN_MOLDOVAN#ROXANA_GIRJU#VASILE_RUS
A001038,Large_scale Controlled Vocabulary Indexing for Named Entities,#MARK_WASSON
A001039,Unsupervised Discovery of Scenario_Level Patterns for Information Extraction,#ROMAN_YANGARBER#RALPH_GRISHMAN#PASI_TAPANAINEN
A001040,Using Corpus_derived Name Lists for Named Entity Recognition,#MARK_STEVENSON#ROBERT_GAIZAUSKAS
A001041,Answer Extraction,#STEVEN_ABNEY#MICHAEL_COLLINS#AMIT_SINGHAL
A001042,Evaluation of Automatically Identified Index Terms for Browsing Electronic Documents,#NINA_WACHOLDER#JUDITH_L_KLAVANS#DAVID_K_EVANS
A001043,Sentence Reduction for Automatic Text Summarization,#HONGYAN_JING
A001044,Named Entity Extraction from Noisy Input_ Speech and OCR,#DAVID_MILLER#SEAN_BOISEN#RICHARD_SCHWARTZ#REBECCA_STONE#RALPH_WEISCHEDEL
A001045,Improving Testsuites via Instrumentation,#NORBERT_BROKER
A001046,The Efficiency of Multimodal Interaction for a Map_based Task,#PHILIP_COHEN#DAVID_MCGEE#JOSH_CLOW
A002001,Modelling Grounding and Discourse Obligations Using Update Rules,#COLIN_MATHESON#MASSIMO_POESIO#DAVID_TRAUM
A002002,The Automatic Translation of Discourse Structures,#DANIEL_MARCU#LYNN_CARLSON#MAKI_WATANABE
A002003,A Probabilistic Genre_Independent Model of Pronominalization,#MICHAEL_STRUBE#MARIA_WOLTERS
A002004,Advances in domain independent linear text segmentation,#FREDDY_Y_Y_CHOI
A002005,Bagging and Boosting a Treebank Parser,#JOHN_C_HENDERSON#ERIC_BRILL
A002006,Encoding information on adjectives in a lexical_semantic net for computational applications,#ANTONIETTA_ALONGE#FRANCESCA_BERTAGNA#NICOLETTA_CALZOLARI#ADRIANA_ROVENTINI#ANTONIO_ZAMPOLLI
A002007,Noun Phrase Recognition by System Combination,#ERIK_F_TJONG
A002008,The FrameNet tagset for frame_semantic and syntactic coding of predicate_argument structure,#CHRISTOPHER_JOHNSON#CHARLES_J_FILLMORE
A002009,A Simple Approach to Building Ensembles of Naive Bayesian Classifiers for Word Sense Disambiguation,#TED_PEDERSEN
A002010,Generation in the Lambek Calculus Framework_ an Approach with Semantic Proof Nets,#SYLVAIN_POGODALLA
A002011,Word_for_Word Glossing with Contextually Similar Words,#PATRICK_PANTEL#DEKANG_LIN
A002012,Arabic Morphology Generation Using a Concatenative Strategy,#VIOLETTA_CAVALLISFORZA#ABDELHADI_SOUDI#TERUKO_MITAMURA
A002013,Morphological Tagging_ Data vs_ Dictionaries,#JAN_HAJIC
A002014,The Effectiveness of Corpus_Induced Dependency Grammars for Post_processing Speech,#M_P_HARPER#C_M_WHITE#W_WANG#M_T_JOHNSON#R_A_HELZERMAN
A002015,Analyzing Dependencies of Japanese Subordinate Clauses based on Statistics of Scope Embedding Preference,#TAKEHITO_UTSURO#SHIGEYUKI_NISHIOKAYAMA#MASAKAZU_FUJIO#YUJI_MATSUMOTO
A002016,Rapid Parser Development_ A Machine Learning Approach for Korean,#ULF_HERMJAKOB
A002017,A Classification Approach to Word Prediction,#YAIR_EVENZOHAR#DAN_ROTH
A002018,A Maximum_Entropy_Inspired Parser,#EUGENE_CHARNIAK
A002019,An Unsupervised Method for Detecting Grammatical Errors,#MARTIN_CHODOROW#CLAUDIA_LEACOCK
A002020,Detecting Errors within a Corpus using Anomaly Detection,#ELEAZAR_ESKIN
A002021,Exploiting auxiliary distributions in stochastic unification_based grammars,#MARK_JOHNSON#STEFAN_RIEZLER
A002022,Ambiguity Packing in Constraint_based Parsing Practical Results,#STEPHAN_CEPEN#JOHN_CARROLL
A002023,Forest_Based Statistical Sentence Generation,#IRENE_LANGKILDE
A002024,Cut and Paste Based Text Summarization,#HONGYAN_JING#KATHLEEN_R_MCKEOWN
A002025,Minimizing Word Error Rate in Textual Summaries of Spoken Language,#KLAUS_ZECHNER#ALEX_WAIBEL
A002026,Trainable Methods for Surface Natural Language Generation,#ADWAIT_RATNAPARKHI
A002027,Evaluating Automatic Dialogue Strategy Adaptation for a Spoken Dialogue System,#JENNIFER_CHUCARROLL
A002028,Learning to Predict Problematic Situations in a Spoken Dialogue System_ Experiments with How May I Help You__,#MARILYN_WALKER#IRENE_LANGKILDE#JERRY_WRIGHT#ALLEN_GORIN#DIANE_LITMAN
A002029,Predicting Automatic Speech Recognition Performance Using Prosodic Cues,#DIANE_J_LITMAN#JULIA_B_HIRSCHBERG#MARC_SWERTS
A002030,A Novel Use of Statistical Parsing to Extract Information from Text,#SCOTT_MILLER#HEIDI_FOX#LANCE_RAMSHAW#RALPH_WEISCHEDEL
A002031,Assigning Function Tags to Parsed Text,#DON_BLAHETA#EUGENE_CHARNIAK
A002032,Mostly_Unsupervised Statistical Segmentation of Japanese_ Applications to Kanji,#RIE_KUBOTA_ANDO#LILLIAN_LEE
A002033,Removing Left Recursion from Context_Free Grammars,#ROBERT_C_MOORE
A002034,Using Semantic Preferences to Identify Verbal Participation in Role Switching Alternations,#DIANA_MCCARTHY
A002035,Tagging Sentence Boundaries,#ANDREI_MIKHEEV
A002036,Left_To_Right Parsing and Bilexical Context_Free Grammars,#MARKJAN_NEDERHOF#GIORGIO_SATTA
A002037,Acknowledgments in Human_Computer Interaction,#KAREN_WARD#PETER_A_HEEMAN
A002038,A New Algorithm for the Alignment of Phonetic Sequences,#GRZEGORZ_KONDRAK
A002039,Finite_State Reduplication in One_Level Prosodic Morphology,#MARKUS_WALTHER
A002040,A Finite State and Data_Oriented Method for Grapheme to Phoneme Conversion,#GOSSE_BOUMA
A002041,A Framework for Robust Semantic Interpretation Learning,#CAROLYN_P_ROSE
A002042,_Understanding __Each Other_,#CLAIRE_GARDENT#KARSTEN_KONRAD
A002043,An Empirical Assessment of Semantic Interpretation,#MARTIN_ROMACKER#UDO_HAHN
A003001,Experimenting with the Interaction between Aggregation and Text Structuring,#HUA_CHENG
A003002,Efficient parsing strategies for syntactic analysis of closed captions,#KRZYSZTOF_CZUBA
A003003,Generating Text with a Theorem Prover,#IVAN_I_GARIBAY
A003004,A Weighted Robust Parsing Approach to Semantic Annotation,#HATEM_GHORBEL#VINCENZO_PALLOTTA
A003005,Corpus_Based Syntactic Error Detection Using Syntactic Patterns,#KOLDO_GOJENOLA#MAITE_ORONOZ
A003006,_The use of error tags in ARTFL_s Encyclope__die_ Does good error identification lead to good error correction__,#DERRICK_HIGGINS
A003007,Word Sense Disambiguation for Cross_Language Information Retrieval,#MARY_XIAOYONG_LIU#TED_DIAMOND#ANNE_R_DIEKEMA
A003008,Multiple Discourse Marker Occurrence_ Creating Hierarchies for Natural Language Generation,#SARAH_LOUISE_OATES
A831001,DOMAIN_INDEPENDENT NATURAL LANGUAGE INTERFACES_ SESSION INTRODUCTION,#ARAVIND_K_JOSHI
A831002,PROBLEMS IN NATURAL_LANGUAGE INTERFACE TO DSMS WITH EXAMPLES FROM EUFID,#MARJORIE_TEMPLETON#JOHN_BURGER
A831003,_INTRODUCING ASK_ A SIMPLE KNOWLEDGEABLE SYSTEM_,#BOZENN_H_THOMPSON#FREDERICK_B_THOMPSON
A831004,A Robust Portable Natural Language Data Base Interface,#JERROLD_M_GINSPARG
A831005,IR_NLI _ AN EXPERT NATURAL LANGUAGE INTERFACE TO ONLINE DATA BASES,#GIOVANNI_GUIDA#CARLO_TASSO
A831006,TEAM_ A TRANSPORTABLE NATURAL_LANGUAGE INTERFACE SYSTEM,#BARBARA_J_GROSZ
A831007,ISOLATING DOMAIN DEPENDENCIES IN NATURAL LANGUAGE INTERFACES,#R_GRISHMAN#L_HIRSCHMAN#C_FRIEDMAN
A831008,KNOWLEDGE_BASED APPROACHES_ SESSION INTRODUCTION,#IVAN_A_SAG
A831009,DISTINGUISHING FACT FROM OPINlON AND EVENTS FROM META_EVENTS,#CHRISTINE_A_MONTGOMERY
A831010,PARSING WITH LOGICAL VARIABLES,#TIMOTHY_W_FINLN#MARTHA_STONE_PALMER
A831011,EXPLORER_ A Natural Language Processing System for Oil Exploration,#WENDY_G_LEHNERT#STEVEN_P_SHWARTZ
A831012,KNOWLEDGE BASED QUESTION ANSWERING,#MICHAEL_J_PAZZANI#CARL_ENGELMAN
A831013,HOW TO DRIVE A DATABASE FRONT DID USING GENERAL SEMANTIC INFORMATION,#BK_BOGURAEV#K_SPARCK_JONES
A831014,HANDLING ILL_FORMED INPUT_ SESSION INTRODUCTION,#RALPH_M_WEISCHEDEL
A831015,The Fitted Parse_ 100_ Parsing Capability in a Syntactic Grammar of English,#KAREN_JENSEN#GEORGE_E_HEIDORN
A831016,UTILIZING DOMAIN_SPECIFIC INFORMATION FOR PROCESSING COMPACT TEXT,#ELAINE_MARSH
A831017,Scruffy Text Understanding_ Design and Implementation of the NOMAD System,#RICHARD_H_GRANGER#CHRIS_J__STAROS#GREGORY_S_TAYLOR#RIKA_YOSHII
A831018,TEXT ANALYSIS_ SESSION INTRODUCTION,#DONALD_E_WALKER
A831019,SPECIALIZED INFORMATION EXTRACTION_ AUTOMATIC CHEMICAL REACTION CODING FROM ENGLISH DESCRIPTIONS,#LARRY_H_REEKER#ELENA_M_CHMORA#PAUL_E_BLOWER
A831020,AUTOMATIC ANALYSIS OF DESCRIPTIVE TEXTS,#JAMES_R_COWIE
A831021,___Expertness__ from Structured Text_ RECONSIDER_ A Diagnostic Prompting Program_,#MARK_S_TUTTLE#DAVID_D_SHERERTZ#MARSDEN_S_BLOIS#STUART_NELSON
A831022,USING NATURAL LANGUAGE DESCRIPTIONS TO IMPROVE THE USABILITY OF DATABASES,#CAROLE_D_HAFNER#JOHN_D_JOYCE
A831023,NATURAL LANGUAGE TEXT SEGMENTATION TECHNIQUES APPLIED TO THE AUTOMATIC COMPILATION OF PRINTED SUBJECT INDEXES AND FOR ONLINE DATABASE ACCESS,#G_VLADUTZ
A831024,AUTOMATIC REPRESENTATION OF THE SEMANTIC RELATIONSHIPS CORRESPONDING TO A FRENCH SURFACE EXPRESSION,#GIAN_PIERO_ZARRI
A831025,MACHINE TRANSLATION_ SESSION INTRODUCTION,#GARY_R_MARTINS
A831026,INVESTIGATING THE POSSIBILITY OF A MICROPROCESSOR_BASED MACHINE TRANSLATTON SYSTEM,#HAROLD_L_SOMERS
A831027,AN APPLICATION OF MONTAGUE GRAMMAR TO ENGLISH_JAPANESE MACHINE TRANSLATION,#TOYOAKI_NISHIDA#SHUJI_DOSHITA
A831028,A STATUS REPORT ON THE LRC MACHINE,#JONATHAN_SLOCUM
A831029,COMPUTER_ASSISTED TRANSLATION SYSTEMS_ The Standard Design and A Multi_level Design,#ALAN_K_MELBY
A831030,SPEECH INTERFACES_ SESSION INTRODUCTION,#DOUGLAS_L_HOGAN
A831031,INTERACTIVE NATURAL LANGUAGE PROBLEM SOLVING_ A PRAGMATIC APPROACH,#A_BIERMANN#R_RODMAN#B_BALLARD#T_BETANCOURT#G_BILBRO#H_DEAS#L_FINEMAN#P_FINK#K_GILBERT#D_GREGORY#F_HEIDLAGE
A831032,APPLICATION OF THE LIBERMAN_PRINCE STRESS RULES TO COMPUTER SYNTHESIZED SPEECH,#DAVID_L_MCPETERS#ALAN_L_THARP
A831033,THE IMPACT OF NATURAL LANGUAGE ACCESS ON DATABASE DESIGN AND IMPLEMENTATION,#DR_S_JERROLD_KAPLAN
A881001,The Multimedia Articulation of Answers in a Natural Language Database Query System,#SUSAN_E_BRENNAN
A881002,A News Story Categorization System,#PHILIP_J_HAYES#LAURA_E_KNECHT#MONICA_J_CELLIO
A881003,An Architecture for Anaphora Resolution,#ELAINE_RICH#SUSANN_LUPERFOY
A881004,_THE SEMSYN GENERATION SYSTEM_ INGREDIENTS_ APPLICATIONS_ PROSPECTS_,#DIETMAR_ROSNER
A881005,TWO SIMPLE PREDICTION ALGORITHMS TO FACILITATE TEXT PRODUCTION,#LOIS_BOGGESS
A881006,FROM WATER TO WINE_ GENERATING NATURAL LANGUAGE TEXT FROM TODAY_S APPLICATIONS PROGRAMS,#DAVID_D_MCDONALD#MARIE_W_METEER
A881007,IMPROVED PORTABILITY AND PARSING THROUGH INTERACTIVE ACQUISITION OF SEMANTIC INFORMATION,#FRANCOISMICHEL_LANG#LYNETTE_HIRSCHMAN
A881008,HANDLING SCOPE AMBIGUITIES IN ENGLISH,#SVEN_HURUM
A881009,RESPONDING TO SEMANTICALLY ILL_FORMED INPUT,#RALPH_GRISHMAN#PING_PENG
A881010,EVALUATION OF A PARALLEL CHART PARSER,#RALPH_GRISHMAN#MAHESH_CHITRAO
A881011,TRIPHONE ANALYSIS_ A COMBINED METHOD FOR THE CORRECTION OF ORTHOGRAPHICAL AND TYPOGRAPHICAL ERRORS_,#BRIGITTE_VAN_BERKELT#KOENRAAD_DE_SMEDT
A881012,CREATING AND QUERYING LEXICAL DATA BASES,#MARY_S_NEFF#ROY_J_BYRD#OMNEYA_A_RIZK
A881013,CN YUR CMPUTR RAED THS_,#LINDA_G_MEANS
